date, pm25, pm10, no2
2025/11/2, 22, 8, 2
2025/11/3, 10, 7, 5
2025/11/4, 10, 7, 1
2025/11/5, 14, 6, 
2025/11/6, 18, , 
2025/11/8, 19, 3, 2
2025/11/9, 10, 3, 2
2025/11/10, 5, 8, 6
2025/11/11, 19, 10, 1
2025/11/12, 33, 3, 1
2025/11/13, 6, 22, 2
2025/11/14, 16, 11, 
2025/11/15, 9, , 
2025/10/2, 15, 9, 2
2025/10/3, 12, 9, 2
2025/10/4, 19, 10, 1
2025/10/5, 23, 5, 2
2025/10/6, 15, 15, 4
2025/10/7, 23, 14, 3
2025/10/8, 20, 9, 3
2025/10/9, 13, 14, 3
2025/10/10, 13, 8, 2
2025/10/11, 12, 6, 
2025/10/12, 12, 4, 
2025/10/13, 8, 8, 2
2025/10/14, 8, 14, 3
2025/10/15, 13, 4, 2
2025/10/16, 5, 9, 2
2025/10/17, 13, 10, 3
2025/10/18, 12, 9, 2
2025/10/19, 12, 9, 1
2025/10/20, 11, 28, 4
2025/10/21, 26, 34, 5
2025/10/22, 40, 12, 2
2025/10/23, 44, 16, 5
2025/10/24, 47, 7, 4
2025/10/25, 24, 2, 2
2025/10/26, 6, 5, 1
2025/10/27, 8, 18, 2
2025/10/28, 16, 40, 3
2025/10/29, 37, 31, 3
2025/10/30, 26, 6, 3
2025/10/31, 16, 14, 2
2025/11/1, 14, 28, 2
2025/7/2, 16, 8, 1
2025/7/3, 12, 5, 1
2025/7/4, 13, 6, 1
2025/7/5, 10, 10, 1
2025/7/6, 18, 5, 1
2025/7/7, 16, 6, 1
2025/7/8, 11, 8, 1
2025/7/9, 13, 8, 1
2025/7/10, 18, 12, 1
2025/7/11, 26, 13, 2
2025/7/12, 33, 11, 1
2025/7/13, 32, 12, 1
2025/7/14, 33, 15, 2
2025/7/15, 40, 15, 2
2025/7/16, 30, 15, 2
2025/7/17, 33, 12, 2
2025/7/18, 22, 12, 2
2025/7/19, 20, 16, 1
2025/7/20, 39, 16, 1
2025/7/21, 42, 18, 1
2025/7/22, 42, 23, 2
2025/7/23, 53, 23, 2
2025/7/24, 56, 24, 2
2025/7/25, 60, 20, 2
2025/7/26, 52, 18, 1
2025/7/27, 54, 13, 1
2025/7/28, 37, 13, 1
2025/7/29, 33, 11, 1
2025/7/30, 34, 10, 1
2025/7/31, 22, 18, 2
2025/8/1, 48, 20, 2
2025/8/2, 56, 14, 1
2025/8/3, 38, 9, 1
2025/8/4, 25, 9, 2
2025/8/5, 25, 7, 1
2025/8/6, 13, 6, 1
2025/8/7, 8, 8, 1
2025/8/8, 10, 10, 1
2025/8/9, 24, 8, 1
2025/8/10, 20, 5, 
2025/8/11, 12, 6, 1
2025/8/12, 9, 5, 1
2025/8/13, 8, 12, 2
2025/8/14, 18, 16, 1
2025/8/15, 30, 8, 1
2025/8/16, 21, 6, 
2025/8/17, 8, 4, 
2025/8/18, 6, 6, 
2025/8/19, 11, 4, 
2025/8/20, 5, 4, 
2025/8/21, 6, 3, 1
2025/8/22, 5, 4, 1
